date,leads_actual,leads_forecast,Nameplate
2018-06-13,490.0,,Cat1
2018-06-14,439.0,,Cat1
2018-06-15,410.0,,Cat1
2018-06-16,412.0,,Cat1
2018-06-17,390.0,,Cat1
2018-06-18,498.0,,Cat1
2018-06-19,446.0,,Cat1
2018-06-20,440.0,,Cat1
2018-06-21,454.0,,Cat1
2018-06-22,409.0,,Cat1
2018-06-23,404.0,,Cat1
2018-06-24,383.0,,Cat1
2018-06-25,439.0,,Cat1
2018-06-26,440.0,,Cat1
2018-06-27,479.0,,Cat1
2018-06-28,478.0,,Cat1
2018-06-29,427.0,,Cat1
2018-06-30,427.0,,Cat1
2018-01-07,457.0,,Cat1
2018-02-07,488.0,,Cat1
2018-03-07,448.0,,Cat1
2018-04-07,412.0,,Cat1
2018-05-07,433.0,,Cat1
2018-06-07,440.0,,Cat1
2018-07-07,476.0,,Cat1
2018-08-07,426.0,,Cat1
2018-09-07,477.0,,Cat1
2018-10-07,512.0,,Cat1
2018-11-07,485.0,,Cat1
2018-12-07,489.0,,Cat1
2018-07-13,433.0,,Cat1
2018-07-14,441.0,,Cat1
2018-07-15,400.0,,Cat1
2018-07-16,487.0,,Cat1
2018-07-17,476.0,,Cat1
2018-07-18,483.0,,Cat1
2018-07-19,480.0,,Cat1
2018-07-20,492.0,,Cat1
2018-07-21,494.0,,Cat1
2018-07-22,483.0,,Cat1
2018-07-23,500.0,,Cat1
2018-07-24,472.0,,Cat1
2018-07-25,448.0,,Cat1
2018-07-26,504.0,,Cat1
2018-07-27,457.0,,Cat1
2018-07-28,422.0,,Cat1
2018-07-29,358.0,,Cat1
2018-07-30,477.0,,Cat1
2018-07-31,428.0,,Cat1
2018-01-08,500.0,,Cat1
2018-02-08,484.0,,Cat1
2018-03-08,450.0,,Cat1
2018-04-08,460.0,,Cat1
2018-05-08,475.0,,Cat1
2018-06-08,543.0,,Cat1
2018-07-08,469.0,,Cat1
2018-08-08,506.0,,Cat1
2018-09-08,448.0,,Cat1
2018-10-08,493.0,,Cat1
2018-11-08,487.0,,Cat1
2018-12-08,471.0,,Cat1
