date,testdrive_actual,testdrive_forecast,Nameplate
2018-04-06,4811.0,,Cat1
2018-05-06,4828.0,,Cat1
2018-06-06,4527.0,,Cat1
2018-07-06,4404.0,,Cat1
2018-08-06,4258.0,,Cat1
2018-09-06,4545.0,,Cat1
2018-10-06,4728.0,,Cat1
2018-11-06,4597.0,,Cat1
2018-12-06,4372.0,,Cat1
2018-06-13,4299.0,,Cat1
2018-06-14,4200.0,,Cat1
2018-06-15,4158.0,,Cat1
2018-06-16,4307.0,,Cat1
2018-06-17,4514.0,,Cat1
2018-06-18,4423.0,,Cat1
2018-06-19,4331.0,,Cat1
2018-06-20,4459.0,,Cat1
2018-06-21,4459.0,,Cat1
2018-06-22,4531.0,,Cat1
2018-06-23,4695.0,,Cat1
2018-06-24,4758.0,,Cat1
2018-06-25,4488.0,,Cat1
2018-06-26,4503.0,,Cat1
2018-06-27,4385.0,,Cat1
2018-06-28,6221.0,,Cat1
2018-06-29,6282.0,,Cat1
2018-06-30,5477.0,,Cat1
2018-01-07,5589.0,,Cat1
2018-02-07,5472.0,,Cat1
2018-03-07,4715.0,,Cat1
2018-04-07,4465.0,,Cat1
2018-05-07,4473.0,,Cat1
2018-06-07,4427.0,,Cat1
2018-07-07,4341.0,,Cat1
2018-08-07,4608.0,,Cat1
2018-09-07,4786.0,,Cat1
2018-10-07,4805.0,,Cat1
2018-11-07,4496.0,,Cat1
2018-12-07,4525.0,,Cat1
2018-07-13,4661.0,,Cat1
2018-07-14,4824.0,,Cat1
2018-07-15,4781.0,,Cat1
2018-07-16,4618.0,,Cat1
2018-07-17,4678.0,,Cat1
2018-07-18,4530.0,,Cat1
2018-07-19,5144.0,,Cat1
2018-07-20,5415.0,,Cat1
2018-07-21,5228.0,,Cat1
2018-07-22,5359.0,,Cat1
2018-07-23,4804.0,,Cat1
2018-07-24,4689.0,,Cat1
2018-07-25,4625.0,,Cat1
2018-07-26,4507.0,,Cat1
2018-07-27,4570.0,,Cat1
2018-07-28,4768.0,,Cat1
2018-07-29,4695.0,,Cat1
2018-07-30,4674.0,,Cat1
2018-07-31,4457.0,,Cat1
2018-01-08,4352.0,,Cat1
2018-02-08,4161.0,,Cat1
2018-03-08,4371.0,,Cat1
2018-04-08,4458.0,,Cat1
2018-05-08,4768.0,,Cat1
2018-06-08,4676.0,,Cat1
2018-07-08,4503.0,,Cat1
2018-08-08,5376.0,,Cat1
2018-09-08,4858.0,,Cat1
2018-10-08,4700.0,,Cat1
2018-11-08,5031.0,,Cat1
2018-12-08,4986.0,,Cat1
2018-08-13,4548.0,,Cat1
2018-08-14,4339.0,,Cat1
2018-08-15,4159.0,,Cat1
2018-08-16,4400.0,,Cat1
2018-08-17,4466.0,,Cat1
2018-08-18,4508.0,,Cat1
2018-08-19,4529.0,,Cat1
2018-08-20,4506.0,,Cat1
2018-08-21,4379.0,,Cat1
2018-08-22,4346.0,,Cat1
2018-08-23,4517.0,,Cat1
2018-08-24,4617.0,,Cat1
2018-08-25,4722.0,,Cat1
2018-08-26,4709.0,,Cat1
2018-08-27,4502.0,,Cat1
2018-08-28,4475.0,,Cat1
2018-08-29,4599.0,,Cat1
2018-08-30,4421.0,,Cat1
2018-08-31,4168.0,,Cat1
2018-01-09,4134.0,,Cat1
2018-02-09,4375.0,,Cat1
2018-03-09,4412.0,,Cat1
2018-04-09,3899.0,,Cat1
2018-05-09,3774.0,,Cat1
2018-06-09,3674.0,,Cat1
2018-07-09,3639.0,,Cat1
2018-08-09,3803.0,,Cat1
2018-09-09,4127.0,,Cat1
2018-10-09,3972.0,,Cat1
2018-11-09,3590.0,,Cat1
2018-12-09,3660.0,,Cat1
2018-09-13,3772.0,,Cat1
2018-09-14,3812.0,,Cat1
2018-09-15,3860.0,,Cat1
2018-09-16,3894.0,,Cat1
2018-09-17,3935.0,,Cat1
2018-09-18,4081.0,,Cat1
2018-09-19,3940.0,,Cat1
2018-09-20,4106.0,,Cat1
2018-09-21,3909.0,,Cat1
2018-09-22,4201.0,,Cat1
2018-09-23,4381.0,,Cat1
2018-09-24,4176.0,,Cat1
2018-09-25,4220.0,,Cat1
2018-09-26,4052.0,,Cat1
2018-09-27,4477.0,,Cat1
2018-09-28,4318.0,,Cat1
2018-09-29,4259.0,,Cat1
2018-09-30,4342.0,,Cat1
2018-01-10,4208.0,,Cat1
2018-02-10,4102.0,,Cat1
2018-03-10,4271.0,,Cat1
2018-04-10,4113.0,,Cat1
2018-05-10,3837.0,,Cat1
2018-06-10,4003.0,,Cat1
2018-07-10,4084.0,,Cat1
2018-08-10,4223.0,,Cat1
2018-09-10,4281.0,,Cat1
2018-10-10,4432.0,,Cat1
2018-11-10,4538.0,,Cat1
2018-12-10,4197.0,,Cat1
2018-10-13,3865.0,,Cat1
2018-10-14,4091.0,,Cat1
2018-10-15,4110.0,,Cat1
2018-10-16,4050.0,,Cat1
2018-10-17,4003.0,,Cat1
2018-10-18,4837.0,,Cat1
2018-10-19,4774.0,,Cat1
2018-10-20,4362.0,,Cat1
2018-10-21,4305.0,,Cat1
2018-10-22,4701.0,,Cat1
2018-10-23,4587.0,,Cat1
2018-10-24,4296.0,,Cat1
2018-10-25,4065.0,,Cat1
2018-10-26,3726.0,,Cat1
2018-10-27,3749.0,,Cat1
2018-10-28,3953.0,,Cat1
2018-10-29,4395.0,,Cat1
2018-10-30,4290.0,,Cat1
2018-10-31,4238.0,,Cat1
2018-01-11,5115.0,,Cat1
2018-02-11,5479.0,,Cat1
2018-03-11,5173.0,,Cat1
2018-04-11,5516.0,,Cat1
2018-05-11,5446.0,,Cat1
2018-06-11,4952.0,,Cat1
2018-07-11,4762.0,,Cat1
2018-08-11,4713.0,,Cat1
2018-09-11,4558.0,,Cat1
2018-10-11,4403.0,,Cat1
2018-11-11,4550.0,,Cat1
2018-12-11,4903.0,,Cat1
2018-11-13,4369.0,,Cat1
2018-11-14,4326.0,,Cat1
2018-11-15,4256.0,,Cat1
2018-11-16,4168.0,,Cat1
2018-11-17,4131.0,,Cat1
2018-11-18,4625.0,,Cat1
