date,Category,visits,testdrive,leads,total_spend_nobrand_nodig,total_spend_nobrand
09/01/18,Cat10,439,112,15,0,0
09/01/18,Cat11,19358,8036,710,7558.190476,93057.77336
10/01/18,Cat1,8990,2770,406,102907.0476,132214.2964
10/01/18,Cat2,5693,2056,374,28713.14286,82966.38659
10/01/18,Cat3,7791,1694,474,184819.2139,276474.6285
10/01/18,Cat4,5081,1749,300,136952.9786,209506.2326
10/01/18,Cat5,13341,4579,689,21954.36488,99385.00117
10/01/18,Cat6,776,274,15,0,3522.404462
10/01/18,Cat7,5988,2766,343,110052.9101,163912.8046
10/01/18,Cat8,10480.32204,3378.541645,646,436127.2267,664290.7308
10/01/18,Cat9,1150,277,46,0,18260.24021
10/01/18,Cat10,464,98,17,0,0
10/01/18,Cat11,20397,8659,841,7558.190476,93057.77336
11/01/18,Cat1,9247,2937,366,102907.0476,132214.2964
11/01/18,Cat2,5807,2016,387,28713.14286,82966.38659
11/01/18,Cat3,7731,1546,392,184819.2139,276474.6285
11/01/18,Cat4,4993,1537,319,136952.9786,209506.2326
11/01/18,Cat5,14042,4657,654,21954.36488,99385.00117
11/01/18,Cat6,693,226,11,0,3522.404462
11/01/18,Cat7,6017,2692,335,110052.9101,163912.8046
11/01/18,Cat8,10480.32204,3378.541645,667,436127.2267,664290.7308
11/01/18,Cat9,1081,258,28,0,18260.24021
11/01/18,Cat10,471,102,12,0,0
11/01/18,Cat11,21006,8871,806,7558.190476,93057.77336
12/01/18,Cat1,9371,3004,361,102907.0476,132214.2964
12/01/18,Cat2,5453,1924,370,28713.14286,82966.38659
12/01/18,Cat3,7736,1503,448,184819.2139,276474.6285
12/01/18,Cat4,4839,1623,332,136952.9786,209506.2326
12/01/18,Cat5,13861,4658,675,21954.36488,99385.00117
12/01/18,Cat6,698,259,14,0,3522.404462
12/01/18,Cat7,6063,2911,359,110052.9101,163912.8046
12/01/18,Cat8,10583,3503,700,436127.2267,664290.7308
12/01/18,Cat9,1058,295,34,0,18260.24021
12/01/18,Cat10,435,98,17,0,0
12/01/18,Cat11,21449,8570,817,7558.190476,93057.77336
13/01/18,Cat1,8665,3054,351,102907.0476,132214.2964
13/01/18,Cat2,5676,2194,342,28713.14286,82966.38659
13/01/18,Cat3,6599,1648,416,184819.2139,276474.6285
13/01/18,Cat4,5951,1969,297,136952.9786,209506.2326
13/01/18,Cat5,15926,5651,698,21954.36488,99385.00117
13/01/18,Cat6,633,236,10,0,3522.404462
13/01/18,Cat7,6351,3048,360,110052.9101,163912.8046
13/01/18,Cat8,11666,3808,629,436127.2267,664290.7308
13/01/18,Cat9,888,237,39,0,18260.24021
13/01/18,Cat10,422,112,11,0,0
13/01/18,Cat11,24253,9476,840,7558.190476,93057.77336
14/01/18,Cat1,9190,3119,402,102907.0476,132214.2964
14/01/18,Cat2,6087,2462,372,28713.14286,82966.38659
14/01/18,Cat3,6760,1707,379,184819.2139,276474.6285
14/01/18,Cat4,5944,2056,279,136952.9786,209506.2326
14/01/18,Cat5,16229,5946,621,21954.36488,99385.00117
14/01/18,Cat6,648,274,11,0,3522.404462
14/01/18,Cat7,7084,3470,395,110052.9101,163912.8046
14/01/18,Cat8,14095,4199,574,436127.2267,664290.7308
14/01/18,Cat9,953,260,42,0,18260.24021
14/01/18,Cat10,404,115,12,0,0
14/01/18,Cat11,25443,10092,854,7558.190476,93057.77336
15/01/18,Cat1,9857,3330,374,100437.9048,129745.1536
15/01/18,Cat2,7525,2495,411,25666.71429,79919.95802
15/01/18,Cat3,11502,1816,512,328073.0768,422076.8335
15/01/18,Cat4,6174,2018,349,221151.6714,293704.9255
15/01/18,Cat5,16682,5782,731,36710.74345,115208.5226
15/01/18,Cat6,1026,311,12,0,3522.404462
15/01/18,Cat7,9533,4126,427,63871.98155,117731.876
15/01/18,Cat8,34259.3748,6899,759,355991.0554,587182.506
15/01/18,Cat9,1193,324,49,0,18260.24021
15/01/18,Cat10,565,127,11,0,0
15/01/18,Cat11,24446,10037,897,180426.5477,265926.1305
16/01/18,Cat1,10684,3368,375,100437.9048,129745.1536
16/01/18,Cat2,6817,2406,358,25666.71429,79919.95802
16/01/18,Cat3,15732.82892,2274,452,328073.0768,422076.8335
16/01/18,Cat4,6274,2074,343,221151.6714,293704.9255
16/01/18,Cat5,17716,5664,677,36710.74345,115208.5226
16/01/18,Cat6,1064,365,13,0,3522.404462
16/01/18,Cat7,8870,3929,397,63871.98155,117731.876
16/01/18,Cat8,30277,6166,698,355991.0554,587182.506
16/01/18,Cat9,1123,291,40,0,18260.24021
16/01/18,Cat10,516,128,11,0,0
16/01/18,Cat11,23499,9571,863,180426.5477,265926.1305
17/01/18,Cat1,9908,3240,416,100437.9048,129745.1536
17/01/18,Cat2,6273,2328,378,25666.71429,79919.95802
17/01/18,Cat3,10887,1769,506,328073.0768,422076.8335
17/01/18,Cat4,5932,1961,386,221151.6714,293704.9255
17/01/18,Cat5,16180,5108,709,36710.74345,115208.5226
17/01/18,Cat6,988,369,11,0,3522.404462
17/01/18,Cat7,8209,3691,451,63871.98155,117731.876
17/01/18,Cat8,24251,5436,707,355991.0554,587182.506
17/01/18,Cat9,1097,302,42,0,18260.24021
17/01/18,Cat10,527,109,15,0,0
17/01/18,Cat11,22638,10036,927,180426.5477,265926.1305
18/01/18,Cat1,9166,2829,410,100437.9048,129745.1536
18/01/18,Cat2,6168,2187,405,25666.71429,79919.95802
18/01/18,Cat3,8775,1497,508,328073.0768,422076.8335
18/01/18,Cat4,5444,1739,358,221151.6714,293704.9255
18/01/18,Cat5,15138,4941,751,36710.74345,115208.5226
18/01/18,Cat6,958,313,3,0,3522.404462
18/01/18,Cat7,7787,3294,430,63871.98155,117731.876
18/01/18,Cat8,22737,4997,716,355991.0554,587182.506
18/01/18,Cat9,1090,295,49,0,18260.24021
18/01/18,Cat10,558,118,17,0,0
18/01/18,Cat11,22041,9614,1007,180426.5477,265926.1305
19/01/18,Cat1,9497,2982,372,100437.9048,129745.1536
19/01/18,Cat2,6101,2199,423,25666.71429,79919.95802
19/01/18,Cat3,3616,710,542,328073.0768,422076.8335
19/01/18,Cat4,2862.125001,799,353,221151.6714,293704.9255
19/01/18,Cat5,9345.834431,3346.472377,664,36710.74345,115208.5226
19/01/18,Cat6,898,311,5,0,3522.404462
19/01/18,Cat7,7517,3488,427,63871.98155,117731.876
19/01/18,Cat8,19864,4847,724,355991.0554,587182.506
19/01/18,Cat9,1051,310,43,0,18260.24021
19/01/18,Cat10,529,136,10,0,0
19/01/18,Cat11,12056.70375,4720.603658,868,180426.5477,265926.1305
20/01/18,Cat1,10352,3368,380,100437.9048,129745.1536
20/01/18,Cat2,6232,2346,376,25666.71429,79919.95802
20/01/18,Cat3,2273.109992,392.5011436,431,328073.0768,422076.8335
20/01/18,Cat4,2862.125001,642.5352459,315,221151.6714,293704.9255
20/01/18,Cat5,9345.834431,3346.472377,728,36710.74345,115208.5226
20/01/18,Cat6,765,300,9,0,3522.404462
20/01/18,Cat7,7138,3302,398,63871.98155,117731.876
20/01/18,Cat8,17942,4750,681,355991.0554,587182.506
20/01/18,Cat9,873,284,46,0,18260.24021
20/01/18,Cat10,466,128,16,0,0
20/01/18,Cat11,12056.70375,4720.603658,933,180426.5477,265926.1305
21/01/18,Cat1,9879,3455,384,100437.9048,129745.1536
21/01/18,Cat2,6667,2670,418,25666.71429,79919.95802
21/01/18,Cat3,2273.109992,392.5011436,407,328073.0768,422076.8335
21/01/18,Cat4,2862.125001,642.5352459,355,221151.6714,293704.9255
21/01/18,Cat5,9345.834431,3346.472377,631,36710.74345,115208.5226
